Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S136459847,Canada Goose,Branta canadensis,324,3,US-MO,St. Louis,L1234086,Lone Elk County Park,38.5321203,-90.5388451,2023-05-07,08:00 AM,eBird - Traveling Count,116,0,5.069,,2
S108542081,Canada Goose,Branta canadensis,324,14,US-KS,Stafford,L12877871,Quivira NWR (Stafford Co.),38.1511805,-98.5188995,2022-04-30,03:48 PM,eBird - Traveling Count,193,1,50.099,,4
S97197299,Canada Goose,Branta canadensis,324,30,US-NE,Washington,L4457288,DeSoto NWR (NE),41.512491,-96.032631,2021-11-06,10:29 AM,eBird - Traveling Count,68,1,18.041,,1
S125726310,Canada Goose,Branta canadensis,324,6,US-KS,Wyandotte,L148354,Wyandotte Co. Lake,39.1648564,-94.7821212,2023-01-08,12:58 PM,eBird - Traveling Count,73,1,3.782,,1
S137449655,Canada Goose,Branta canadensis,324,2,US-KS,Wyandotte,L148354,Wyandotte Co. Lake,39.1648564,-94.7821212,2023-05-13,10:27 AM,eBird - Traveling Count,109,0,4.86,,1
S167572511,Trumpeter Swan,Cygnus buccinator,363,2,US-IL,Clark,L857433,Lincoln Trail State Park,39.3419979,-87.7193069,2024-04-07,08:55 AM,eBird - Traveling Count,212,0,7.95,,1,,Flat black bill in a straight slope.
S130266513,Trumpeter Swan,Cygnus buccinator,363,300,US-MO,Holt,L170028,Loess Bluffs NWR,40.068893,-95.23534,2023-03-05,12:07 PM,eBird - Traveling Count,248,1,17.461,,2,,confident in ID so probably just a migration situation
S167572511,Wood Duck,Aix sponsa,433,3,US-IL,Clark,L857433,Lincoln Trail State Park,39.3419979,-87.7193069,2024-04-07,08:55 AM,eBird - Traveling Count,212,0,7.95,,1
S142165026,Wood Duck,Aix sponsa,433,1,US-MO,Franklin,L269176,Meramec SP,38.2139168,-91.1124184,2023-06-19,08:11 PM,eBird - Stationary Count,90,0,,,2
S96899294,Wood Duck,Aix sponsa,433,20,US-MO,Holt,L170028,Loess Bluffs NWR,40.068893,-95.23534,2021-10-30,11:07 AM,eBird - Traveling Count,320,1,16.592,,4
S120249074,Wood Duck,Aix sponsa,433,2,US-MO,Holt,L170028,Loess Bluffs NWR,40.068893,-95.23534,2022-10-08,10:24 AM,eBird - Traveling Count,351,1,15.723,,1
S130266513,Wood Duck,Aix sponsa,433,1,US-MO,Holt,L170028,Loess Bluffs NWR,40.068893,-95.23534,2023-03-05,12:07 PM,eBird - Traveling Count,248,1,17.461,,2
S120255366,Wood Duck,Aix sponsa,433,3,US-MO,Holt,L2366290,Loess Bluffs NWR--Mallard Marsh,40.0997407,-95.2767849,2022-10-08,04:44 PM,eBird - Traveling Count,31,0,2.688,,4
